item,role,name,match_kind,token_id,token,form,position,visible_to_scored_state,context
confirmation-001,control,Io,substring_inside_word,,,Io,char 37-39,True,he planet whose sidereal rotation takes longer than its orbita
confirmation-001,control,Io,substring_inside_word,,,Io,char 74-76,True,es longer than its orbital period has an atmosphere dominated 
confirmation-001,control,Io,substring_inside_word,,,io,char 37-39,True,he planet whose sidereal rotation takes longer than its orbita
confirmation-001,control,Io,substring_inside_word,,,io,char 74-76,True,es longer than its orbital period has an atmosphere dominated 
confirmation-002,control,Io,substring_inside_word,,,Io,char 75-77,True,d clouds rotates in the direction described as 
confirmation-002,control,Io,substring_inside_word,,,io,char 75-77,True,d clouds rotates in the direction described as 
confirmation-003,control,Io,substring_inside_word,,,Io,char 28-30,True,Fact: The planet whose rotation axis is tilted nearly into i
confirmation-003,control,Io,substring_inside_word,,,io,char 28-30,True,Fact: The planet whose rotation axis is tilted nearly into i
confirmation-004,control,Io,substring_inside_word,,,Io,char 71-73,True,red in a 1977 stellar-occultation observation is classified as
confirmation-004,control,Io,substring_inside_word,,,Io,char 83-85,True,7 stellar-occultation observation is classified as an 
confirmation-004,control,Io,substring_inside_word,,,io,char 71-73,True,red in a 1977 stellar-occultation observation is classified as
confirmation-004,control,Io,substring_inside_word,,,io,char 83-85,True,7 stellar-occultation observation is classified as an 
confirmation-005,control,Voyager,exact_token_id,36649, Voyager,,15,True, winds was visited by the Voyager 2 spacecraft in 
confirmation-005,control,Voyager,substring_word,,,Voyager,char 74-81,True,ured winds was visited by the Voyager 2 spacecraft in 
confirmation-005,control,Voyager,substring_word,,,voyager,char 74-81,True,ured winds was visited by the Voyager 2 spacecraft in 
confirmation-006,control,Voyager,exact_token_id,36649, Voyager,,6,True,Fact: The planet where Voyager 2 observed the Great
confirmation-006,control,Voyager,substring_word,,,Voyager,char 23-30,True,Fact: The planet where Voyager 2 observed the Great Dark Spo
confirmation-006,control,Voyager,substring_word,,,voyager,char 23-30,True,Fact: The planet where Voyager 2 observed the Great Dark Spo
confirmation-007,control,Io,substring_inside_word,,,Io,char 74-76,True, Charon lies mainly in the region called the 
confirmation-007,control,Io,substring_inside_word,,,io,char 74-76,True, Charon lies mainly in the region called the 
confirmation-008,control,Io,substring_inside_word,,,Io,char 77-79,True,"in 2015 has a heart-shaped region named after its discoverer, "
confirmation-008,control,Io,substring_inside_word,,,io,char 77-79,True,"in 2015 has a heart-shaped region named after its discoverer, "
confirmation-016,intended,Io,substring_inside_word,,,Io,char 35-37,True, The moon whose volcanic eruption was detected in Voyager 1 im
confirmation-016,intended,Io,substring_inside_word,,,io,char 35-37,True, The moon whose volcanic eruption was detected in Voyager 1 im
confirmation-016,control,Voyager,exact_token_id,36649, Voyager,,11,True, volcanic eruption was detected in Voyager 1 images in 
confirmation-016,control,Voyager,substring_word,,,Voyager,char 55-62,True,anic eruption was detected in Voyager 1 images in 1979 orbits the p
confirmation-016,control,Voyager,substring_word,,,voyager,char 55-62,True,anic eruption was detected in Voyager 1 images in 1979 orbits the p
confirmation-017,control,Io,substring_inside_word,,,Io,char 62-64,True,ons without supporting combustion has atomic number 
confirmation-017,control,Io,substring_inside_word,,,io,char 62-64,True,ons without supporting combustion has atomic number 
confirmation-028,control,Io,substring_inside_word,,,Io,char 22-24,True,Fact: The metal traditionally used for incandescent la
