group,size,item,intermediate,domain,target,prompt
dg001,2,confirmation-001,Venus,astronomy,carbon dioxide,Fact: The planet whose sidereal rotation takes longer than its orbital period has an atmosphere dominated by 
dg001,2,confirmation-002,Venus,astronomy,retrograde,Fact: The planet with persistent sulfuric-acid clouds rotates in the direction described as 
dg002,4,confirmation-003,Uranus,astronomy,1977,Fact: The planet whose rotation axis is tilted nearly into its orbital plane had its rings discovered in 
dg002,4,confirmation-004,Uranus,astronomy,ice giant,Fact: The planet whose rings were discovered in a 1977 stellar-occultation observation is classified as an 
dg002,4,confirmation-117,Voyager,technology,copper,Fact: The pair of space probes launched in 1977 carries gold-plated message records whose underlying metal is 
dg002,4,confirmation-118,Voyager,technology,1977,Fact: The space-probe program whose first spacecraft crossed the heliopause in 2012 began with two launches in the year 
dg003,10,confirmation-005,Neptune,astronomy,1989,Fact: The outer planet with the fastest measured winds was visited by the Voyager 2 spacecraft in 
dg003,10,confirmation-006,Neptune,astronomy,methane,Fact: The planet where Voyager 2 observed the Great Dark Spot has an atmosphere containing the light-absorbing gas 
dg003,10,confirmation-011,Titan,astronomy,methane,Fact: The largest moon of Saturn has northern surface lakes composed mainly of liquid 
dg003,10,confirmation-012,Titan,astronomy,Saturn,Fact: The moon on which the Huygens probe landed in 2005 orbits the planet 
dg003,10,confirmation-013,Europa,astronomy,water,Fact: The smallest of Jupiter's four large Galilean moons is thought to have an ocean composed mainly of liquid 
dg003,10,confirmation-014,Europa,astronomy,ice,Fact: The Galilean moon whose name comes from a Phoenician princess is covered chiefly by a crust of 
dg003,10,confirmation-015,Io,astronomy,volcanoes,Fact: The innermost of Jupiter's four large Galilean moons is especially notable for active 
dg003,10,confirmation-016,Io,astronomy,Jupiter,Fact: The moon whose volcanic eruption was detected in Voyager 1 images in 1979 orbits the planet 
dg003,10,confirmation-159,permafrost,environment_geology,active layer,Fact: Ground that remains frozen for at least two consecutive years has a seasonally thawed surface zone called the 
dg003,10,confirmation-160,permafrost,environment_geology,methane,"Fact: When long-frozen soil thaws, decomposition of its organic matter can release carbon dioxide and the greenhouse gas "
dg004,2,confirmation-007,Pluto,astronomy,Kuiper belt,Fact: The dwarf planet whose largest moon is Charon lies mainly in the region called the 
dg004,2,confirmation-008,Pluto,astronomy,Tombaugh,"Fact: The dwarf planet visited by New Horizons in 2015 has a heart-shaped region named after its discoverer, Clyde "
dg005,2,confirmation-009,Ceres,astronomy,salts,Fact: The largest object in the asteroid belt has bright deposits in Occator crater composed largely of 
dg005,2,confirmation-010,Ceres,astronomy,Dawn,Fact: The dwarf planet with the bright deposits in Occator crater was visited by the spacecraft named 
dg006,42,confirmation-017,helium,chemistry,2,Fact: The gas used to fill balloons without supporting combustion has atomic number 
dg006,42,confirmation-018,helium,chemistry,noble gases,Fact: The element with atomic number two belongs to the chemical family called the 
dg006,42,confirmation-019,lithium,chemistry,3,Fact: The lightest solid element used in rechargeable batteries has atomic number 
dg006,42,confirmation-020,lithium,chemistry,Li,Fact: The element with atomic number three has the chemical symbol 
dg006,42,confirmation-021,boron,chemistry,solid,Fact: The element with atomic number five has a physical state at twenty degrees Celsius described as 
dg006,42,confirmation-022,boron,chemistry,5,Fact: The element independently isolated in 1808 by Gay-Lussac and Thenard and by Humphry Davy has atomic number 
dg006,42,confirmation-023,cobalt,chemistry,Co,Fact: The metal at the center of vitamin B12 has the chemical symbol 
dg006,42,confirmation-024,cobalt,chemistry,27,Fact: The blue-pigment metal whose name derives from the German word for goblin has atomic number 
dg006,42,confirmation-025,nickel,chemistry,Ni,Fact: The element with atomic number twenty-eight has the chemical symbol 
dg006,42,confirmation-026,nickel,chemistry,28,Fact: The metal that gives its name to the United States five-cent coin has atomic number 
dg006,42,confirmation-027,tungsten,chemistry,W,Fact: The metal with the highest melting point has the chemical symbol 
dg006,42,confirmation-028,tungsten,chemistry,74,Fact: The metal traditionally used for incandescent lamp filaments has atomic number 
dg006,42,confirmation-029,radon,chemistry,Rn,Fact: The radioactive noble gas produced in the uranium decay series has the chemical symbol 
dg006,42,confirmation-030,radon,chemistry,86,Fact: The radioactive gas that can accumulate in basements has atomic number 
dg006,42,confirmation-031,neon,chemistry,Ne,Fact: The noble gas used in orange-red discharge tubes has the chemical symbol 
dg006,42,confirmation-032,neon,chemistry,orange-red,Fact: The element with atomic number ten produces a characteristic discharge glow that is 
dg006,42,confirmation-053,Andes,landforms,South America,Fact: The mountain range containing Aconcagua is located on the continent of 
dg006,42,confirmation-054,Andes,landforms,Aconcagua,Fact: The mountain range forming much of the border between Chile and Argentina has its highest summit at 
dg006,42,confirmation-059,Alps,landforms,Europe,Fact: The mountain range whose highest summit is Mont Blanc is located on the continent of 
dg006,42,confirmation-060,Alps,landforms,Mont Blanc,Fact: The European mountain range containing the Matterhorn has its highest summit at 
dg006,42,confirmation-063,Borneo,landforms,3,Fact: The island containing Mount Kinabalu is politically divided among how many countries? The answer is 
dg006,42,confirmation-064,Borneo,landforms,Kinabalu,"Fact: The island shared by Brunei, Indonesia and Malaysia has its highest summit at Mount "
dg006,42,confirmation-075,nucleus,biology,nucleolus,Fact: The membrane-bound compartment housing most eukaryotic chromosomes contains a ribosome-assembly structure called the 
dg006,42,confirmation-076,nucleus,biology,2,Fact: The compartment housing most eukaryotic chromosomes is surrounded by how many membranes? The answer is 
dg006,42,confirmation-129,Kelvin,si_units,K,Fact: The SI base unit defined by fixing the Boltzmann constant has the symbol 
dg006,42,confirmation-130,Kelvin,si_units,temperature,Fact: The SI unit associated with the physicist William Thomson measures the physical quantity 
